epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,196.741,1.55354,1.38678,0.02265,0.52233,0.42637,0.46146,0.22614,1.88315,2.09916,0.03455,0.0298277,0.00994258,0.0298277,0.00994258,0.0298277,0.00994258,0.0298277,0.00994258
31,203.002,1.55797,1.36162,0.02246,0.42792,0.44021,0.42579,0.22121,1.83036,2.12038,0.03374,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406,0.0298218,0.0099406
32,209.302,1.52876,1.35652,0.02203,0.68759,0.43813,0.49841,0.26326,1.92577,1.80339,0.03576,0.0298159,0.00993862,0.0298159,0.00993862,0.0298159,0.00993862,0.0298159,0.00993862
33,215.751,1.51489,1.3432,0.02212,0.50468,0.50149,0.51642,0.2422,1.82831,1.76161,0.03393,0.0298099,0.00993664,0.0298099,0.00993664,0.0298099,0.00993664,0.0298099,0.00993664
34,222.212,1.51154,1.32099,0.0219,0.43044,0.39379,0.37536,0.18566,1.93739,2.2736,0.03661,0.029804,0.00993466,0.029804,0.00993466,0.029804,0.00993466,0.029804,0.00993466
35,228.513,1.52313,1.36071,0.02214,0.38635,0.4192,0.35297,0.18707,1.89133,2.63716,0.03603,0.029798,0.00993268,0.029798,0.00993268,0.029798,0.00993268,0.029798,0.00993268
36,234.784,1.50797,1.33599,0.02173,0.49015,0.5398,0.49876,0.25871,1.80118,1.73044,0.03302,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307,0.0297921,0.0099307
37,241.113,1.49622,1.32686,0.02162,0.63538,0.3772,0.38834,0.20196,1.83982,2.45821,0.03774,0.0297862,0.00992872,0.0297862,0.00992872,0.0297862,0.00992872,0.0297862,0.00992872
38,247.432,1.48089,1.35764,0.02147,0.58438,0.55029,0.58005,0.30699,1.74344,1.42873,0.03157,0.0297802,0.00992674,0.0297802,0.00992674,0.0297802,0.00992674,0.0297802,0.00992674
39,253.791,1.50582,1.31875,0.02174,0.57369,0.55589,0.57773,0.31076,1.65609,1.6362,0.0314,0.0297743,0.00992476,0.0297743,0.00992476,0.0297743,0.00992476,0.0297743,0.00992476
40,260.209,1.49043,1.28049,0.02175,0.60467,0.62858,0.66004,0.35692,1.58049,1.32756,0.02848,0.0297683,0.00992278,0.0297683,0.00992278,0.0297683,0.00992278,0.0297683,0.00992278
41,266.804,1.51129,1.30971,0.02176,0.51308,0.5659,0.54682,0.29368,1.81576,1.60495,0.03309,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208,0.0297624,0.0099208
42,273.504,1.51475,1.27189,0.02165,0.63544,0.66076,0.67816,0.36798,1.54771,1.2875,0.02879,0.0297565,0.00991882,0.0297565,0.00991882,0.0297565,0.00991882,0.0297565,0.00991882
43,280.161,1.49363,1.27637,0.02154,0.66988,0.56953,0.64427,0.34841,1.62434,1.40792,0.02879,0.0297505,0.00991684,0.0297505,0.00991684,0.0297505,0.00991684,0.0297505,0.00991684
44,286.18,1.47043,1.31028,0.02122,0.5548,0.57268,0.58401,0.29251,1.81563,1.48332,0.03413,0.0297446,0.00991486,0.0297446,0.00991486,0.0297446,0.00991486,0.0297446,0.00991486
