epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
128,829.067,1.27813,0.92872,0.01784,0.6801,0.65497,0.68672,0.38223,1.5796,1.14629,0.02884,0.0292456,0.00974854,0.0292456,0.00974854,0.0292456,0.00974854,0.0292456,0.00974854
129,835.602,1.288,0.91361,0.01777,0.5442,0.6406,0.6223,0.32838,1.69689,1.24988,0.03181,0.0292397,0.00974656,0.0292397,0.00974656,0.0292397,0.00974656,0.0292397,0.00974656
130,842.385,1.27865,0.9397,0.01769,0.64453,0.63562,0.65529,0.34944,1.64348,1.4018,0.0311,0.0292337,0.00974458,0.0292337,0.00974458,0.0292337,0.00974458,0.0292337,0.00974458
131,848.688,1.24745,0.93882,0.01764,0.62057,0.65202,0.63757,0.32869,1.73004,1.30065,0.03238,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426,0.0292278,0.0097426
132,854.394,1.27138,0.94348,0.01774,0.68765,0.64667,0.69383,0.38494,1.53089,1.1826,0.02805,0.0292219,0.00974062,0.0292219,0.00974062,0.0292219,0.00974062,0.0292219,0.00974062
133,860.542,1.27788,0.91835,0.01792,0.71234,0.66097,0.70122,0.39846,1.57442,1.13312,0.029,0.0292159,0.00973864,0.0292159,0.00973864,0.0292159,0.00973864,0.0292159,0.00973864
134,867.152,1.25362,0.8929,0.01728,0.61911,0.68013,0.67375,0.38006,1.54884,1.1849,0.02808,0.02921,0.00973666,0.02921,0.00973666,0.02921,0.00973666,0.02921,0.00973666
135,873.552,1.24392,0.90296,0.01716,0.64746,0.65202,0.67197,0.35825,1.62932,1.22897,0.03001,0.029204,0.00973468,0.029204,0.00973468,0.029204,0.00973468,0.029204,0.00973468
136,879.708,1.27117,0.90912,0.01763,0.70041,0.66506,0.71056,0.39671,1.54836,1.11366,0.02873,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327,0.0291981,0.0097327
137,885.553,1.26981,0.92324,0.01805,0.71167,0.68481,0.72769,0.41161,1.54126,1.04901,0.02856,0.0291922,0.00973072,0.0291922,0.00973072,0.0291922,0.00973072,0.0291922,0.00973072
138,891.622,1.2462,0.91386,0.01741,0.69424,0.63694,0.69926,0.38127,1.54653,1.28045,0.02854,0.0291862,0.00972874,0.0291862,0.00972874,0.0291862,0.00972874,0.0291862,0.00972874
139,898.1,1.24237,0.91422,0.01742,0.67069,0.70233,0.71735,0.40269,1.54873,1.1118,0.02821,0.0291803,0.00972676,0.0291803,0.00972676,0.0291803,0.00972676,0.0291803,0.00972676
140,904.312,1.25498,0.90947,0.01717,0.60049,0.64892,0.65564,0.36793,1.60176,1.21809,0.02965,0.0291743,0.00972478,0.0291743,0.00972478,0.0291743,0.00972478,0.0291743,0.00972478
141,910.494,1.24342,0.90959,0.01703,0.64584,0.70262,0.68964,0.37632,1.61235,1.14489,0.02973,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228,0.0291684,0.0097228
142,916.615,1.23295,0.89728,0.01717,0.71255,0.62909,0.69117,0.41216,1.52314,1.1357,0.0277,0.0291625,0.00972082,0.0291625,0.00972082,0.0291625,0.00972082,0.0291625,0.00972082
143,922.969,1.24211,0.88677,0.01745,0.6783,0.63685,0.68243,0.39238,1.52106,1.11703,0.02834,0.0291565,0.00971884,0.0291565,0.00971884,0.0291565,0.00971884,0.0291565,0.00971884
144,929.347,1.23509,0.90304,0.01727,0.57832,0.63973,0.62783,0.34369,1.66799,1.33659,0.03074,0.0291506,0.00971686,0.0291506,0.00971686,0.0291506,0.00971686,0.0291506,0.00971686
145,935.764,1.22588,0.884,0.01679,0.6449,0.66758,0.69256,0.39312,1.56527,1.16693,0.02846,0.0291446,0.00971488,0.0291446,0.00971488,0.0291446,0.00971488,0.0291446,0.00971488
146,942.24,1.22101,0.89308,0.01712,0.67172,0.64959,0.69009,0.39389,1.53971,1.15184,0.02815,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129,0.0291387,0.0097129
147,948.865,1.22614,0.898,0.01699,0.73008,0.62547,0.7068,0.40271,1.54595,1.12471,0.02848,0.0291328,0.00971092,0.0291328,0.00971092,0.0291328,0.00971092,0.0291328,0.00971092
148,955.639,1.2279,0.90332,0.0169,0.66753,0.65164,0.68091,0.38968,1.57353,1.1448,0.02876,0.0291268,0.00970894,0.0291268,0.00970894,0.0291268,0.00970894,0.0291268,0.00970894
149,961.826,1.22187,0.86686,0.01704,0.63095,0.63867,0.66067,0.37552,1.61144,1.22827,0.02979,0.0291209,0.00970696,0.0291209,0.00970696,0.0291209,0.00970696,0.0291209,0.00970696
150,967.303,1.21374,0.88051,0.01736,0.64365,0.64808,0.67388,0.39638,1.543,1.14074,0.02841,0.0291149,0.00970498,0.0291149,0.00970498,0.0291149,0.00970498,0.0291149,0.00970498
151,973.509,1.22521,0.89325,0.01696,0.69425,0.62096,0.66747,0.3763,1.6053,1.12423,0.02995,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
152,979.66,1.22159,0.88607,0.01658,0.60481,0.6631,0.64464,0.34464,1.6382,1.25122,0.03048,0.0291031,0.00970102,0.0291031,0.00970102,0.0291031,0.00970102,0.0291031,0.00970102
153,986.365,1.23719,0.87103,0.01693,0.64467,0.66165,0.67702,0.40533,1.54921,1.19207,0.02874,0.0290971,0.00969904,0.0290971,0.00969904,0.0290971,0.00969904,0.0290971,0.00969904
154,992.455,1.22853,0.86649,0.01693,0.65606,0.69626,0.70237,0.39954,1.53048,1.16647,0.02824,0.0290912,0.00969706,0.0290912,0.00969706,0.0290912,0.00969706,0.0290912,0.00969706
155,998.35,1.21527,0.85536,0.01672,0.69638,0.6682,0.70225,0.40372,1.56577,1.08257,0.02907,0.0290852,0.00969508,0.0290852,0.00969508,0.0290852,0.00969508,0.0290852,0.00969508
156,1004.85,1.20569,0.86558,0.01648,0.64666,0.68317,0.69255,0.39915,1.57179,1.13244,0.02906,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931,0.0290793,0.0096931
157,1011.52,1.20114,0.84885,0.01665,0.62388,0.63154,0.63683,0.34607,1.70506,1.36539,0.03091,0.0290734,0.00969112,0.0290734,0.00969112,0.0290734,0.00969112,0.0290734,0.00969112
158,1018.23,1.20939,0.84224,0.01699,0.66006,0.69556,0.70222,0.38851,1.55373,1.12084,0.02908,0.0290674,0.00968914,0.0290674,0.00968914,0.0290674,0.00968914,0.0290674,0.00968914
159,1024.22,1.21012,0.84053,0.01671,0.68704,0.65752,0.68219,0.37838,1.63237,1.21418,0.03093,0.0290615,0.00968716,0.0290615,0.00968716,0.0290615,0.00968716,0.0290615,0.00968716
160,1029.39,1.19936,0.85273,0.01653,0.64237,0.58406,0.6094,0.34509,1.63848,1.41064,0.03042,0.0290555,0.00968518,0.0290555,0.00968518,0.0290555,0.00968518,0.0290555,0.00968518
161,1034.96,1.21972,0.8439,0.01682,0.67475,0.62244,0.68655,0.39211,1.54935,1.16443,0.0287,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832,0.0290496,0.0096832
162,1041.31,1.19753,0.85021,0.01642,0.63171,0.66626,0.67432,0.38802,1.58648,1.13355,0.02983,0.0290437,0.00968122,0.0290437,0.00968122,0.0290437,0.00968122,0.0290437,0.00968122
163,1047.76,1.20265,0.83353,0.01666,0.69301,0.67965,0.71932,0.41798,1.54645,1.07939,0.02804,0.0290377,0.00967924,0.0290377,0.00967924,0.0290377,0.00967924,0.0290377,0.00967924
164,1054.25,1.20795,0.86513,0.01701,0.74059,0.61854,0.70569,0.40905,1.56904,1.08752,0.02927,0.0290318,0.00967726,0.0290318,0.00967726,0.0290318,0.00967726,0.0290318,0.00967726
165,1060.64,1.18947,0.82099,0.01657,0.69211,0.69212,0.71511,0.41038,1.58222,1.07524,0.02984,0.0290258,0.00967528,0.0290258,0.00967528,0.0290258,0.00967528,0.0290258,0.00967528
166,1066.94,1.19742,0.83504,0.01635,0.67282,0.71603,0.69239,0.40048,1.55718,1.12729,0.02884,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733,0.0290199,0.0096733
167,1073.2,1.17868,0.82674,0.01634,0.62592,0.66388,0.6543,0.36718,1.63038,1.23312,0.03032,0.029014,0.00967132,0.029014,0.00967132,0.029014,0.00967132,0.029014,0.00967132
168,1079.86,1.18462,0.83146,0.01642,0.67079,0.72496,0.70629,0.40016,1.55997,1.08893,0.02944,0.029008,0.00966934,0.029008,0.00966934,0.029008,0.00966934,0.029008,0.00966934
169,1086.32,1.19672,0.84101,0.01652,0.69149,0.67678,0.69283,0.38346,1.58477,1.16499,0.02949,0.0290021,0.00966736,0.0290021,0.00966736,0.0290021,0.00966736,0.0290021,0.00966736
170,1092.87,1.1832,0.82092,0.01667,0.69377,0.73124,0.7297,0.41567,1.5609,1.04358,0.02886,0.0289961,0.00966538,0.0289961,0.00966538,0.0289961,0.00966538,0.0289961,0.00966538
171,1099.23,1.16745,0.82618,0.016,0.69811,0.6676,0.70294,0.36991,1.6746,1.12194,0.03094,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
172,1105.82,1.17778,0.8234,0.01633,0.6922,0.67303,0.70555,0.39753,1.60157,1.10422,0.02917,0.0289843,0.00966142,0.0289843,0.00966142,0.0289843,0.00966142,0.0289843,0.00966142
173,1112.43,1.18623,0.79315,0.01648,0.67379,0.70326,0.71285,0.40977,1.56794,1.08985,0.02868,0.0289783,0.00965944,0.0289783,0.00965944,0.0289783,0.00965944,0.0289783,0.00965944
174,1118.68,1.17454,0.82766,0.01588,0.69748,0.69263,0.7301,0.41395,1.56,1.07615,0.02871,0.0289724,0.00965746,0.0289724,0.00965746,0.0289724,0.00965746,0.0289724,0.00965746
175,1124.66,1.19118,0.80527,0.01596,0.69416,0.67067,0.70934,0.39854,1.54965,1.14772,0.02838,0.0289664,0.00965548,0.0289664,0.00965548,0.0289664,0.00965548,0.0289664,0.00965548
176,1129.8,1.18801,0.81691,0.01625,0.64644,0.62577,0.65267,0.3772,1.68218,1.26907,0.0296,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
177,1135.56,1.16656,0.7985,0.01584,0.67756,0.64613,0.69086,0.39308,1.57146,1.23905,0.02878,0.0289546,0.00965152,0.0289546,0.00965152,0.0289546,0.00965152,0.0289546,0.00965152
178,1141.92,1.15762,0.79321,0.01576,0.69645,0.666,0.68274,0.39289,1.59699,1.12421,0.02953,0.0289486,0.00964954,0.0289486,0.00964954,0.0289486,0.00964954,0.0289486,0.00964954
179,1148.18,1.17555,0.79491,0.01633,0.76801,0.64608,0.71295,0.39889,1.60344,1.12574,0.02973,0.0289427,0.00964756,0.0289427,0.00964756,0.0289427,0.00964756,0.0289427,0.00964756
180,1154.36,1.15033,0.78734,0.01574,0.69219,0.65821,0.70336,0.39834,1.57711,1.1042,0.029,0.0289367,0.00964558,0.0289367,0.00964558,0.0289367,0.00964558,0.0289367,0.00964558
181,1160.75,1.17489,0.80081,0.01601,0.73771,0.66347,0.71093,0.41204,1.55314,1.11392,0.02857,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
182,1166.93,1.16388,0.78366,0.01599,0.73385,0.68231,0.72517,0.40647,1.54663,1.10827,0.02836,0.0289249,0.00964162,0.0289249,0.00964162,0.0289249,0.00964162,0.0289249,0.00964162
183,1173.33,1.14483,0.76753,0.01592,0.685,0.70757,0.72129,0.41101,1.58436,1.09942,0.02888,0.0289189,0.00963964,0.0289189,0.00963964,0.0289189,0.00963964,0.0289189,0.00963964
184,1179.71,1.16266,0.79554,0.01594,0.71176,0.6491,0.70389,0.39834,1.64129,1.08794,0.03048,0.028913,0.00963766,0.028913,0.00963766,0.028913,0.00963766,0.028913,0.00963766
185,1186.12,1.14426,0.77263,0.01549,0.7044,0.71168,0.72623,0.40908,1.60338,1.04106,0.02973,0.028907,0.00963568,0.028907,0.00963568,0.028907,0.00963568,0.028907,0.00963568
186,1192.36,1.17192,0.80183,0.01576,0.70827,0.69595,0.71985,0.40733,1.59073,1.11595,0.03024,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337,0.0289011,0.0096337
